 Input electron beam energy in GeV.
  Electron beam energy:   10.618 GeV

  Th_e       Q^2       E_e     Th_p        P_p        Mott   Sig_p (fm^2/sr)
 45.200    15.337     2.445   -11.037     9.063    0.180E-06    0.188E-11
 45.250    15.344     2.441   -11.024     9.067    0.179E-06    0.187E-11
 45.300    15.352     2.437   -11.011     9.071    0.178E-06    0.185E-11
 45.350    15.359     2.433   -10.997     9.075    0.177E-06    0.184E-11
 45.400    15.366     2.429   -10.984     9.078    0.176E-06    0.183E-11
 45.450    15.374     2.426   -10.971     9.082    0.176E-06    0.182E-11
 45.500    15.381     2.422   -10.958     9.086    0.175E-06    0.181E-11
 45.550    15.388     2.418   -10.945     9.090    0.174E-06    0.180E-11
 45.600    15.395     2.414   -10.932     9.094    0.173E-06    0.178E-11
 45.650    15.403     2.410   -10.919     9.098    0.172E-06    0.177E-11
 45.700    15.410     2.406   -10.906     9.102    0.172E-06    0.176E-11
 45.750    15.417     2.402   -10.893     9.106    0.171E-06    0.175E-11
 45.800    15.424     2.398   -10.880     9.110    0.170E-06    0.174E-11
 45.850    15.432     2.395   -10.867     9.113    0.169E-06    0.173E-11
 45.900    15.439     2.391   -10.854     9.117    0.169E-06    0.172E-11
 45.950    15.446     2.387   -10.841     9.121    0.168E-06    0.171E-11
 46.000    15.453     2.383   -10.828     9.125    0.167E-06    0.170E-11
 46.050    15.460     2.379   -10.816     9.129    0.166E-06    0.169E-11
 46.100    15.467     2.376   -10.803     9.133    0.166E-06    0.168E-11
 46.150    15.474     2.372   -10.790     9.136    0.165E-06    0.167E-11
 46.200    15.481     2.368   -10.777     9.140    0.164E-06    0.166E-11
 46.250    15.488     2.364   -10.765     9.144    0.163E-06    0.165E-11
 46.300    15.496     2.361   -10.752     9.148    0.163E-06    0.164E-11
 46.350    15.503     2.357   -10.739     9.152    0.162E-06    0.163E-11
 46.400    15.510     2.353   -10.727     9.155    0.161E-06    0.162E-11
 46.450    15.517     2.349   -10.714     9.159    0.160E-06    0.161E-11
 46.500    15.523     2.346   -10.701     9.163    0.160E-06    0.160E-11
 46.550    15.530     2.342   -10.689     9.166    0.159E-06    0.159E-11
 46.600    15.537     2.338   -10.676     9.170    0.158E-06    0.158E-11
 46.650    15.544     2.335   -10.664     9.174    0.158E-06    0.157E-11
 46.700    15.551     2.331   -10.651     9.178    0.157E-06    0.156E-11
 46.750    15.558     2.327   -10.639     9.181    0.156E-06    0.155E-11
 46.800    15.565     2.323   -10.626     9.185    0.156E-06    0.154E-11
 46.850    15.572     2.320   -10.614     9.189    0.155E-06    0.153E-11
 46.900    15.579     2.316   -10.602     9.192    0.154E-06    0.152E-11
 46.950    15.586     2.313   -10.589     9.196    0.154E-06    0.151E-11
 47.000    15.592     2.309   -10.577     9.200    0.153E-06    0.150E-11
 47.050    15.599     2.305   -10.565     9.203    0.152E-06    0.150E-11
 47.100    15.606     2.302   -10.552     9.207    0.152E-06    0.149E-11
 47.150    15.613     2.298   -10.540     9.211    0.151E-06    0.148E-11
 47.200    15.619     2.294   -10.528     9.214    0.150E-06    0.147E-11
 47.250    15.626     2.291   -10.516     9.218    0.150E-06    0.146E-11
 47.300    15.633     2.287   -10.503     9.221    0.149E-06    0.145E-11
 47.350    15.640     2.284   -10.491     9.225    0.148E-06    0.144E-11
 47.400    15.646     2.280   -10.479     9.229    0.148E-06    0.144E-11
 47.450    15.653     2.277   -10.467     9.232    0.147E-06    0.143E-11
 47.500    15.660     2.273   -10.455     9.236    0.146E-06    0.142E-11
 47.550    15.666     2.270   -10.443     9.239    0.146E-06    0.141E-11
 47.600    15.673     2.266   -10.431     9.243    0.145E-06    0.140E-11
 47.650    15.679     2.262   -10.419     9.246    0.144E-06    0.139E-11
 47.700    15.686     2.259   -10.407     9.250    0.144E-06    0.139E-11
 47.750    15.693     2.255   -10.395     9.253    0.143E-06    0.138E-11
 47.800    15.699     2.252   -10.383     9.257    0.143E-06    0.137E-11
 47.850    15.706     2.248   -10.371     9.260    0.142E-06    0.136E-11
 47.900    15.712     2.245   -10.359     9.264    0.141E-06    0.135E-11
 47.950    15.719     2.242   -10.347     9.267    0.141E-06    0.135E-11
 48.000    15.725     2.238   -10.335     9.271    0.140E-06    0.134E-11
 48.050    15.732     2.235   -10.323     9.274    0.140E-06    0.133E-11
 48.100    15.738     2.231   -10.311     9.278    0.139E-06    0.132E-11
 48.150    15.745     2.228   -10.299     9.281    0.138E-06    0.132E-11
 48.200    15.751     2.224   -10.288     9.285    0.138E-06    0.131E-11
 48.250    15.758     2.221   -10.276     9.288    0.137E-06    0.130E-11
 48.300    15.764     2.217   -10.264     9.292    0.137E-06    0.129E-11
 48.350    15.770     2.214   -10.252     9.295    0.136E-06    0.129E-11
 48.400    15.777     2.211   -10.241     9.298    0.135E-06    0.128E-11
 48.450    15.783     2.207   -10.229     9.302    0.135E-06    0.127E-11
 48.500    15.790     2.204   -10.217     9.305    0.134E-06    0.126E-11
 48.550    15.796     2.200   -10.206     9.309    0.134E-06    0.126E-11
 48.600    15.802     2.197   -10.194     9.312    0.133E-06    0.125E-11
 48.650    15.809     2.194   -10.182     9.315    0.133E-06    0.124E-11
 48.700    15.815     2.190   -10.171     9.319    0.132E-06    0.124E-11
 48.750    15.821     2.187   -10.159     9.322    0.131E-06    0.123E-11
 48.800    15.827     2.184   -10.148     9.326    0.131E-06    0.122E-11
 48.850    15.834     2.180   -10.136     9.329    0.130E-06    0.122E-11
 48.900    15.840     2.177   -10.125     9.332    0.130E-06    0.121E-11
 48.950    15.846     2.174   -10.113     9.336    0.129E-06    0.120E-11
 49.000    15.852     2.170   -10.102     9.339    0.129E-06    0.120E-11
 49.050    15.859     2.167   -10.090     9.342    0.128E-06    0.119E-11
 49.100    15.865     2.164   -10.079     9.346    0.128E-06    0.118E-11
 49.150    15.871     2.160   -10.068     9.349    0.127E-06    0.118E-11
 49.200    15.877     2.157   -10.056     9.352    0.127E-06    0.117E-11
 49.250    15.883     2.154   -10.045     9.355    0.126E-06    0.116E-11
 49.300    15.889     2.151   -10.034     9.359    0.125E-06    0.116E-11
 49.350    15.895     2.147   -10.022     9.362    0.125E-06    0.115E-11
 49.400    15.902     2.144   -10.011     9.365    0.124E-06    0.114E-11
 49.450    15.908     2.141   -10.000     9.368    0.124E-06    0.114E-11
 49.500    15.914     2.138    -9.988     9.372    0.123E-06    0.113E-11
 49.550    15.920     2.134    -9.977     9.375    0.123E-06    0.112E-11
 49.600    15.926     2.131    -9.966     9.378    0.122E-06    0.112E-11
 49.650    15.932     2.128    -9.955     9.381    0.122E-06    0.111E-11
 49.700    15.938     2.125    -9.944     9.385    0.121E-06    0.111E-11
 49.750    15.944     2.122    -9.933     9.388    0.121E-06    0.110E-11
 49.800    15.950     2.118    -9.921     9.391    0.120E-06    0.109E-11
 49.850    15.956     2.115    -9.910     9.394    0.120E-06    0.109E-11
 49.900    15.962     2.112    -9.899     9.397    0.119E-06    0.108E-11
 49.950    15.968     2.109    -9.888     9.401    0.119E-06    0.108E-11
 50.000    15.974     2.106    -9.877     9.404    0.118E-06    0.107E-11
 50.050    15.980     2.103    -9.866     9.407    0.118E-06    0.107E-11
 50.100    15.985     2.099    -9.855     9.410    0.117E-06    0.106E-11
 50.150    15.991     2.096    -9.844     9.413    0.117E-06    0.105E-11
 50.200    15.997     2.093    -9.833     9.416    0.116E-06    0.105E-11
 50.250    16.003     2.090    -9.822     9.420    0.116E-06    0.104E-11
 50.300    16.009     2.087    -9.811     9.423    0.115E-06    0.104E-11
 50.350    16.015     2.084    -9.800     9.426    0.115E-06    0.103E-11
 50.400    16.021     2.081    -9.789     9.429    0.114E-06    0.103E-11
 50.450    16.026     2.078    -9.779     9.432    0.114E-06    0.102E-11
 50.500    16.032     2.075    -9.768     9.435    0.114E-06    0.102E-11
 50.550    16.038     2.071    -9.757     9.438    0.113E-06    0.101E-11
 50.600    16.044     2.068    -9.746     9.441    0.113E-06    0.100E-11
 50.650    16.050     2.065    -9.735     9.445    0.112E-06    0.999E-12
 50.700    16.055     2.062    -9.725     9.448    0.112E-06    0.994E-12
 50.750    16.061     2.059    -9.714     9.451    0.111E-06    0.989E-12
 50.800    16.067     2.056    -9.703     9.454    0.111E-06    0.984E-12
 50.850    16.072     2.053    -9.692     9.457    0.110E-06    0.979E-12
 50.900    16.078     2.050    -9.682     9.460    0.110E-06    0.974E-12
 50.950    16.084     2.047    -9.671     9.463    0.109E-06    0.968E-12
 51.000    16.090     2.044    -9.660     9.466    0.109E-06    0.963E-12
 51.050    16.095     2.041    -9.650     9.469    0.109E-06    0.958E-12
 51.100    16.101     2.038    -9.639     9.472    0.108E-06    0.953E-12
 51.150    16.106     2.035    -9.629     9.475    0.108E-06    0.949E-12
 51.200    16.112     2.032    -9.618     9.478    0.107E-06    0.944E-12
 51.250    16.118     2.029    -9.607     9.481    0.107E-06    0.939E-12
 51.300    16.123     2.026    -9.597     9.484    0.106E-06    0.934E-12
 51.350    16.129     2.023    -9.586     9.487    0.106E-06    0.929E-12
 51.400    16.134     2.020    -9.576     9.490    0.106E-06    0.924E-12
 51.450    16.140     2.017    -9.565     9.493    0.105E-06    0.920E-12
 51.500    16.146     2.014    -9.555     9.496    0.105E-06    0.915E-12
 51.550    16.151     2.011    -9.544     9.499    0.104E-06    0.910E-12
 51.600    16.157     2.008    -9.534     9.502    0.104E-06    0.905E-12
 51.650    16.162     2.005    -9.524     9.505    0.103E-06    0.901E-12
 51.700    16.168     2.002    -9.513     9.508    0.103E-06    0.896E-12
 51.750    16.173     1.999    -9.503     9.511    0.103E-06    0.892E-12
 51.800    16.179     1.997    -9.492     9.514    0.102E-06    0.887E-12
 51.850    16.184     1.994    -9.482     9.517    0.102E-06    0.883E-12
 51.900    16.190     1.991    -9.472     9.519    0.101E-06    0.878E-12
 51.950    16.195     1.988    -9.462     9.522    0.101E-06    0.874E-12
 52.000    16.200     1.985    -9.451     9.525    0.101E-06    0.869E-12
 52.050    16.206     1.982    -9.441     9.528    0.100E-06    0.865E-12
 52.100    16.211     1.979    -9.431     9.531    0.997E-07    0.861E-12
 52.150    16.217     1.976    -9.420     9.534    0.993E-07    0.856E-12
 52.200    16.222     1.973    -9.410     9.537    0.989E-07    0.852E-12
 52.250    16.227     1.971    -9.400     9.540    0.985E-07    0.848E-12
 52.300    16.233     1.968    -9.390     9.543    0.982E-07    0.844E-12
 52.350    16.238     1.965    -9.380     9.545    0.978E-07    0.839E-12
 52.400    16.243     1.962    -9.370     9.548    0.974E-07    0.835E-12
 52.450    16.249     1.959    -9.359     9.551    0.970E-07    0.831E-12
 52.500    16.254     1.956    -9.349     9.554    0.966E-07    0.827E-12
 52.550    16.259     1.954    -9.339     9.557    0.962E-07    0.823E-12
 52.600    16.265     1.951    -9.329     9.560    0.958E-07    0.819E-12
 52.650    16.270     1.948    -9.319     9.562    0.955E-07    0.815E-12
 52.700    16.275     1.945    -9.309     9.565    0.951E-07    0.811E-12
 52.750    16.280     1.942    -9.299     9.568    0.947E-07    0.807E-12
 52.800    16.286     1.940    -9.289     9.571    0.943E-07    0.803E-12
 52.850    16.291     1.937    -9.279     9.574    0.940E-07    0.799E-12
 52.900    16.296     1.934    -9.269     9.576    0.936E-07    0.795E-12
 52.950    16.301     1.931    -9.259     9.579    0.932E-07    0.791E-12
 53.000    16.306     1.928    -9.249     9.582    0.929E-07    0.787E-12
 53.050    16.312     1.926    -9.239     9.585    0.925E-07    0.783E-12
 53.100    16.317     1.923    -9.229     9.588    0.921E-07    0.779E-12
 53.150    16.322     1.920    -9.219     9.590    0.918E-07    0.775E-12
 53.200    16.327     1.917    -9.210     9.593    0.914E-07    0.772E-12
 53.250    16.332     1.915    -9.200     9.596    0.911E-07    0.768E-12
 53.300    16.337     1.912    -9.190     9.599    0.907E-07    0.764E-12
 53.350    16.342     1.909    -9.180     9.601    0.903E-07    0.761E-12
 53.400    16.347     1.907    -9.170     9.604    0.900E-07    0.757E-12
 53.450    16.353     1.904    -9.160     9.607    0.896E-07    0.753E-12
 53.500    16.358     1.901    -9.151     9.609    0.893E-07    0.750E-12
 53.550    16.363     1.898    -9.141     9.612    0.889E-07    0.746E-12
 53.600    16.368     1.896    -9.131     9.615    0.886E-07    0.742E-12
 53.650    16.373     1.893    -9.121     9.618    0.883E-07    0.739E-12
 53.700    16.378     1.890    -9.112     9.620    0.879E-07    0.735E-12
 53.750    16.383     1.888    -9.102     9.623    0.876E-07    0.732E-12
 53.800    16.388     1.885    -9.092     9.626    0.872E-07    0.728E-12
 53.850    16.393     1.882    -9.083     9.628    0.869E-07    0.725E-12
 53.900    16.398     1.880    -9.073     9.631    0.866E-07    0.721E-12
 53.950    16.403     1.877    -9.063     9.634    0.862E-07    0.718E-12
 54.000    16.408     1.874    -9.054     9.636    0.859E-07    0.714E-12
 54.050    16.413     1.872    -9.044     9.639    0.856E-07    0.711E-12
 54.100    16.418     1.869    -9.035     9.642    0.852E-07    0.708E-12
 54.150    16.423     1.866    -9.025     9.644    0.849E-07    0.704E-12
 54.200    16.428     1.864    -9.016     9.647    0.846E-07    0.701E-12
 54.250    16.432     1.861    -9.006     9.650    0.842E-07    0.698E-12
 54.300    16.437     1.859    -8.996     9.652    0.839E-07    0.694E-12
 54.350    16.442     1.856    -8.987     9.655    0.836E-07    0.691E-12
 54.400    16.447     1.853    -8.978     9.657    0.833E-07    0.688E-12
 54.450    16.452     1.851    -8.968     9.660    0.830E-07    0.685E-12
 54.500    16.457     1.848    -8.959     9.663    0.826E-07    0.681E-12
 54.550    16.462     1.846    -8.949     9.665    0.823E-07    0.678E-12
 54.600    16.467     1.843    -8.940     9.668    0.820E-07    0.675E-12
 54.650    16.471     1.840    -8.930     9.670    0.817E-07    0.672E-12
 54.700    16.476     1.838    -8.921     9.673    0.814E-07    0.669E-12
 54.750    16.481     1.835    -8.912     9.676    0.811E-07    0.666E-12
 54.800    16.486     1.833    -8.902     9.678    0.808E-07    0.663E-12
 54.850    16.491     1.830    -8.893     9.681    0.805E-07    0.660E-12
 54.900    16.495     1.828    -8.883     9.683    0.802E-07    0.657E-12
 54.950    16.500     1.825    -8.874     9.686    0.798E-07    0.653E-12
 55.000    16.505     1.823    -8.865     9.688    0.795E-07    0.650E-12
 55.050    16.510     1.820    -8.856     9.691    0.792E-07    0.647E-12
 55.100    16.514     1.818    -8.846     9.693    0.789E-07    0.644E-12
 55.150    16.519     1.815    -8.837     9.696    0.786E-07    0.642E-12
 55.200    16.524     1.813    -8.828     9.698    0.783E-07    0.639E-12
 55.250    16.529     1.810    -8.819     9.701    0.780E-07    0.636E-12
 55.300    16.533     1.808    -8.809     9.703    0.778E-07    0.633E-12
 55.350    16.538     1.805    -8.800     9.706    0.775E-07    0.630E-12
 55.400    16.543     1.803    -8.791     9.708    0.772E-07    0.627E-12
 55.450    16.547     1.800    -8.782     9.711    0.769E-07    0.624E-12
 55.500    16.552     1.798    -8.773     9.713    0.766E-07    0.621E-12
 55.550    16.557     1.795    -8.764     9.716    0.763E-07    0.618E-12
 55.600    16.561     1.793    -8.754     9.718    0.760E-07    0.616E-12
 55.650    16.566     1.790    -8.745     9.721    0.757E-07    0.613E-12
 55.700    16.570     1.788    -8.736     9.723    0.754E-07    0.610E-12
 55.750    16.575     1.785    -8.727     9.726    0.752E-07    0.607E-12
 55.800    16.580     1.783    -8.718     9.728    0.749E-07    0.605E-12
 55.850    16.584     1.780    -8.709     9.731    0.746E-07    0.602E-12
 55.900    16.589     1.778    -8.700     9.733    0.743E-07    0.599E-12
 55.950    16.593     1.776    -8.691     9.736    0.740E-07    0.596E-12
 56.000    16.598     1.773    -8.682     9.738    0.738E-07    0.594E-12
 56.050    16.602     1.771    -8.673     9.741    0.735E-07    0.591E-12
 56.100    16.607     1.768    -8.664     9.743    0.732E-07    0.589E-12
 56.150    16.611     1.766    -8.655     9.745    0.729E-07    0.586E-12
 56.200    16.616     1.763    -8.646     9.748    0.727E-07    0.583E-12
 56.250    16.620     1.761    -8.637     9.750    0.724E-07    0.581E-12
 56.300    16.625     1.759    -8.628     9.753    0.721E-07    0.578E-12
 56.350    16.629     1.756    -8.619     9.755    0.719E-07    0.576E-12
 56.400    16.634     1.754    -8.610     9.757    0.716E-07    0.573E-12
 56.450    16.638     1.751    -8.602     9.760    0.713E-07    0.570E-12
 56.500    16.643     1.749    -8.593     9.762    0.711E-07    0.568E-12
 56.550    16.647     1.747    -8.584     9.765    0.708E-07    0.565E-12
 56.600    16.652     1.744    -8.575     9.767    0.705E-07    0.563E-12
 56.650    16.656     1.742    -8.566     9.769    0.703E-07    0.560E-12
 56.700    16.661     1.740    -8.557     9.772    0.700E-07    0.558E-12
 56.750    16.665     1.737    -8.549     9.774    0.697E-07    0.556E-12
 56.800    16.669     1.735    -8.540     9.776    0.695E-07    0.553E-12
 56.850    16.674     1.733    -8.531     9.779    0.692E-07    0.551E-12
 56.900    16.678     1.730    -8.522     9.781    0.690E-07    0.548E-12
 56.950    16.683     1.728    -8.514     9.783    0.687E-07    0.546E-12
 57.000    16.687     1.726    -8.505     9.786    0.685E-07    0.543E-12
