 Input electron beam energy in GeV.
  Electron beam energy:   10.618 GeV

  Th_e       Q^2       E_e     Th_p        P_p        Mott   Sig_p (fm^2/sr)
 14.950     5.518     7.677   -31.749     3.764    0.158E-04    0.108E-07
 15.000     5.545     7.663   -31.663     3.778    0.156E-04    0.104E-07
 15.050     5.572     7.649   -31.577     3.793    0.154E-04    0.101E-07
 15.100     5.598     7.635   -31.491     3.808    0.152E-04    0.979E-08
 15.150     5.625     7.621   -31.406     3.822    0.150E-04    0.949E-08
 15.200     5.651     7.607   -31.321     3.837    0.148E-04    0.921E-08
 15.250     5.677     7.593   -31.236     3.851    0.146E-04    0.893E-08
 15.300     5.704     7.578   -31.152     3.866    0.144E-04    0.866E-08
 15.350     5.730     7.564   -31.068     3.880    0.142E-04    0.840E-08
 15.400     5.757     7.550   -30.985     3.895    0.140E-04    0.815E-08
 15.450     5.783     7.536   -30.902     3.909    0.138E-04    0.791E-08
 15.500     5.810     7.522   -30.820     3.924    0.136E-04    0.767E-08
 15.550     5.836     7.508   -30.738     3.938    0.135E-04    0.745E-08
 15.600     5.862     7.494   -30.656     3.952    0.133E-04    0.723E-08
 15.650     5.889     7.480   -30.574     3.967    0.131E-04    0.702E-08
 15.700     5.915     7.466   -30.493     3.981    0.130E-04    0.681E-08
 15.750     5.941     7.452   -30.413     3.996    0.128E-04    0.661E-08
 15.800     5.968     7.438   -30.333     4.010    0.126E-04    0.642E-08
 15.850     5.994     7.424   -30.253     4.024    0.125E-04    0.624E-08
 15.900     6.020     7.410   -30.173     4.039    0.123E-04    0.582E-08
 15.950     6.046     7.396   -30.094     4.053    0.122E-04    0.565E-08
 16.000     6.073     7.382   -30.015     4.068    0.120E-04    0.549E-08
 16.050     6.099     7.368   -29.937     4.082    0.119E-04    0.533E-08
 16.100     6.125     7.354   -29.859     4.096    0.117E-04    0.518E-08
 16.150     6.151     7.340   -29.781     4.111    0.116E-04    0.504E-08
 16.200     6.177     7.326   -29.704     4.125    0.114E-04    0.489E-08
 16.250     6.204     7.312   -29.627     4.139    0.113E-04    0.476E-08
 16.300     6.230     7.298   -29.550     4.153    0.111E-04    0.462E-08
 16.350     6.256     7.284   -29.474     4.168    0.110E-04    0.449E-08
 16.400     6.282     7.270   -29.398     4.182    0.109E-04    0.437E-08
 16.450     6.308     7.257   -29.323     4.196    0.107E-04    0.425E-08
 16.500     6.334     7.243   -29.247     4.210    0.106E-04    0.413E-08
 16.550     6.360     7.229   -29.173     4.224    0.105E-04    0.402E-08
 16.600     6.386     7.215   -29.098     4.239    0.104E-04    0.391E-08
 16.650     6.412     7.201   -29.024     4.253    0.102E-04    0.380E-08
 16.700     6.438     7.187   -28.950     4.267    0.101E-04    0.370E-08
 16.750     6.464     7.174   -28.876     4.281    0.100E-04    0.360E-08
 16.800     6.489     7.160   -28.803     4.295    0.988E-05    0.350E-08
 16.850     6.515     7.146   -28.730     4.309    0.976E-05    0.341E-08
 16.900     6.541     7.132   -28.658     4.323    0.964E-05    0.332E-08
 16.950     6.567     7.119   -28.586     4.337    0.953E-05    0.323E-08
 17.000     6.593     7.105   -28.514     4.351    0.942E-05    0.314E-08
 17.050     6.618     7.091   -28.442     4.365    0.931E-05    0.306E-08
 17.100     6.644     7.077   -28.371     4.379    0.920E-05    0.298E-08
 17.150     6.670     7.064   -28.300     4.393    0.909E-05    0.290E-08
 17.200     6.695     7.050   -28.229     4.407    0.899E-05    0.282E-08
 17.250     6.721     7.036   -28.159     4.421    0.888E-05    0.275E-08
 17.300     6.747     7.023   -28.089     4.435    0.878E-05    0.268E-08
 17.350     6.772     7.009   -28.019     4.449    0.868E-05    0.261E-08
 17.400     6.798     6.995   -27.950     4.463    0.858E-05    0.254E-08
 17.450     6.823     6.982   -27.881     4.477    0.848E-05    0.247E-08
 17.500     6.849     6.968   -27.812     4.491    0.838E-05    0.241E-08
 17.550     6.874     6.955   -27.744     4.505    0.829E-05    0.235E-08
 17.600     6.900     6.941   -27.676     4.519    0.819E-05    0.229E-08
 17.650     6.925     6.928   -27.608     4.533    0.810E-05    0.223E-08
 17.700     6.951     6.914   -27.540     4.546    0.801E-05    0.217E-08
 17.750     6.976     6.901   -27.473     4.560    0.792E-05    0.212E-08
 17.800     7.001     6.887   -27.406     4.574    0.783E-05    0.206E-08
 17.850     7.027     6.874   -27.339     4.588    0.774E-05    0.201E-08
 17.900     7.052     6.860   -27.273     4.601    0.766E-05    0.196E-08
 17.950     7.077     6.847   -27.207     4.615    0.757E-05    0.191E-08
 18.000     7.102     6.833   -27.141     4.629    0.749E-05    0.187E-08
 18.050     7.127     6.820   -27.075     4.643    0.740E-05    0.182E-08
 18.100     7.153     6.806   -27.010     4.656    0.732E-05    0.177E-08
 18.150     7.178     6.793   -26.945     4.670    0.724E-05    0.173E-08
 18.200     7.203     6.780   -26.880     4.683    0.716E-05    0.169E-08
 18.250     7.228     6.766   -26.816     4.697    0.708E-05    0.165E-08
 18.300     7.253     6.753   -26.752     4.711    0.701E-05    0.161E-08
 18.350     7.278     6.740   -26.688     4.724    0.693E-05    0.157E-08
 18.400     7.303     6.726   -26.624     4.738    0.685E-05    0.153E-08
 18.450     7.328     6.713   -26.561     4.751    0.678E-05    0.149E-08
 18.500     7.352     6.700   -26.498     4.765    0.671E-05    0.146E-08
 18.550     7.377     6.687   -26.435     4.778    0.663E-05    0.142E-08
